review,rating,date,bank,source,clean_review
the best Supper App ever,5,2025-04-22,Dashen,Google Play,best supper app ever
"This is the best app ever, when is it planned to include digital lending and gasification?",5,2025-04-22,Dashen,Google Play,best app ever planned include digital lending gasification
"A powerful, local solution that rivals any global app. I love how easy it is to explore services and products.",5,2025-04-22,Dashen,Google Play,powerful local solution rival global app love easy explore service product
Dashen bank is my number one choice,5,2025-04-22,Dashen,Google Play,dashen bank number one choice
Assefa Genetu = Dashen superup is the latest and inclussive .I am happy with this super up.,5,2025-04-22,Dashen,Google Play,assefa genetu dashen superup latest inclussive happy super
"The App is incredibly user-friendly and brings multiple services into one place. It's fast, intuitive, and makes daily tasks super convenient. A true all-in-one solution!",5,2025-04-21,Dashen,Google Play,app incredibly userfriendly brings multiple service one place fast intuitive make daily task super convenient true allinone solution
"Proudly made in Ethiopia, this innovation delivers more than promised. The marketplace is a major boost for local commerce",5,2025-04-21,Dashen,Google Play,proudly made ethiopia innovation delivers promised marketplace major boost local commerce
it so fanrastic and user friendly app. Bravo Dashen bank thanks.,5,2025-04-21,Dashen,Google Play,fanrastic user friendly app bravo dashen bank thanks
"one of the best digital platforms I've used! from smooth transactions to a seamless shopping experience, highly recommended.",5,2025-04-21,Dashen,Google Play,one best digital platform ive used smooth transaction seamless shopping experience highly recommended
A proudly Ethiopia innovation that delivers beyond expectations. The marketplace feature is a big win for local shoppers bnd sellers,5,2025-04-21,Dashen,Google Play,proudly ethiopia innovation delivers beyond expectation marketplace feature big win local shopper bnd seller
"Dashen Super App is a game-changer! It’s fast, user-friendly, and packed with features that make everyday banking and transactions super convenient. I love how everything I need from mobile banking to utility payments is all in one place. The interface is clean, and everything works smoothly. Definitely one of the best apps out there. Highly recommended!",5,2025-04-21,Dashen,Google Play,dashen super app gamechanger fast userfriendly packed feature make everyday banking transaction super convenient love everything need mobile banking utility payment one place interface clean everything work smoothly definitely one best apps highly recommended
Easy to use and has many options. It is the best financial app I have ever used.,5,2025-04-21,Dashen,Google Play,easy use many option best financial app ever used
"Highly impressed! Dash Bank really nailed it with this app. Secure, reliable, and packed with features I use daily",5,2025-04-21,Dashen,Google Play,highly impressed dash bank really nailed app secure reliable packed feature use daily
"One of the best digital platforms I’ve used! From smooth transactions to a seamless shopping experience, Highly recommended",5,2025-04-21,Dashen,Google Play,one best digital platform ive used smooth transaction seamless shopping experience highly recommended
"This app has everything I was looking for, dashen is becoming a grandmaster.",5,2025-04-21,Dashen,Google Play,app everything looking dashen becoming grandmaster
Very convenient,5,2025-04-21,Dashen,Google Play,convenient
"The user experience is seamless, and everything just works perfectly right out of the box. I can’t believe how much time and effort it saves me every day.",5,2025-04-21,Dashen,Google Play,user experience seamless everything work perfectly right box cant believe much time effort save every day
wawwwww what nice super app !!keep it up dashen bank !!,5,2025-04-21,Dashen,Google Play,wawwwww nice super app keep dashen bank
"Dashen SuperApp the ultimate all-in-one solution! From banking and shopping to bill payments, everything you need is right at your fingertips. Life just got a whole lot easier!",5,2025-04-21,Dashen,Google Play,dashen superapp ultimate allinone solution banking shopping bill payment everything need right fingertip life got whole lot easier
"It is,really super because of its unique offerings to individuals and businesses.It is a secure UX first app intended to cater comprehensive digital meeds.I am also happy to know that Dashen is considering to make the app more inclusive by lowering the mobile version requirements .",5,2025-04-21,Dashen,Google Play,isreally super unique offering individual businessesit secure first app intended cater comprehensive digital meedsi also happy know dashen considering make app inclusive lowering mobile version requirement
"the very easy, secured, fast and multifunctional dashen supper application I ever seen. dashen really one steps ahead!!!",5,2025-04-21,Dashen,Google Play,easy secured fast multifunctional dashen supper application ever seen dashen really one step ahead
"One app for everything! I can shop, manage my bank account , and do so much more . Truly a super app",5,2025-04-21,Dashen,Google Play,one app everything shop manage bank account much truly super app
one of the best digital platforms I’ve used! From smooth transactions to a seamless shopping experie,5,2025-04-21,Dashen,Google Play,one best digital platform ive used smooth transaction seamless shopping experie
"Dashen Bank super App is the most suitable, reliable, and fast digital banking system.",5,2025-04-21,Dashen,Google Play,dashen bank super app suitable reliable fast digital banking system
Excellent app.,5,2025-04-21,Dashen,Google Play,excellent app
This is what we call banking app. As professional I want banking app as simple as this and an app rich of features that align with my lifestyle.,5,2025-04-21,Dashen,Google Play,call banking app professional want banking app simple app rich feature align lifestyle
thanks again,5,2025-04-21,Dashen,Google Play,thanks
Super Easy To Use and Fast Transaction.,5,2025-04-21,Dashen,Google Play,super easy use fast transaction
"I have an incredible experience with Dashen super app, what an amazing platform is it?. keep pioneering in technological advancement 👏👏👏",5,2025-04-21,Dashen,Google Play,incredible experience dashen super app amazing platform keep pioneering technological advancement
"i can't recommend the Dashen Super App enough! This app is truly a game changer for anyone looking for a seamless and efficient way to manage their daily life. It combines multiple essential services into one easy-to-use platform, saving time and simplifying tasks The user interface is modern, intuitive, and super responsive, making navigation a breeze. Whether it's banking, payment services, or accessing lifestyle features, everything is just a few clicks away!!",5,2025-04-21,Dashen,Google Play,cant recommend dashen super app enough app truly game changer anyone looking seamless efficient way manage daily life combine multiple essential service one easytouse platform saving time simplifying task user interface modern intuitive super responsive making navigation breeze whether banking payment service accessing lifestyle feature everything click away
"The app is incredibly handy for managing multiple financial tasks, from bill payments to managing budgets. It’s saved me a lot of time and made banking way more convenient. Definitely worth checking out!",5,2025-04-21,Dashen,Google Play,app incredibly handy managing multiple financial task bill payment managing budget saved lot time made banking way convenient definitely worth checking
what an App,5,2025-04-21,Dashen,Google Play,app
The new e-commerce feature is incredibly amazing and user friendly.,5,2025-04-21,Dashen,Google Play,new ecommerce feature incredibly amazing user friendly
"dashen bank supper app is the most easy to use and have high speed,quality and I like features like chat,budget,fuel payment, and security for my opinion this product is techonolgy edge,this international standard thanks for product oweners (dashen bank)",3,2025-04-21,Dashen,Google Play,dashen bank supper app easy use high speedquality like feature like chatbudgetfuel payment security opinion product techonolgy edgethis international standard thanks product oweners dashen bank
"The Dashen supperapp is a revolutionary advancement in digital banking, combining exceptional usability, an intuitive interface and a seamless user experience. among its standout features are the integration of QR codes, account statement, transaction advise, chat, transaction authentication for limit thresholds, budgeting and different app in a single dashboard. Truly ahead of the curve ..... keep up the excellent work 🤝👏",5,2025-04-21,Dashen,Google Play,dashen supperapp revolutionary advancement digital banking combining exceptional usability intuitive interface seamless user experience among standout feature integration code account statement transaction advise chat transaction authentication limit threshold budgeting different app single dashboard truly ahead curve keep excellent work
"A proudly Ethiopian innovation that delivers beyond expectations. The marketplace feature is a big win for local shoppers and sellers. Very impressed with the new updates, The e-commerce section is smooth and supports Ethiopian merchants!",5,2025-04-21,Dashen,Google Play,proudly ethiopian innovation delivers beyond expectation marketplace feature big win local shopper seller impressed new update ecommerce section smooth support ethiopian merchant
"Very impressed with the new updates, The e-commerce section is smooth and supports Ethiopian merchants.",5,2025-04-21,Dashen,Google Play,impressed new update ecommerce section smooth support ethiopian merchant
"Dashen Bank Super App is fast, reliable, and super easy to use. All my banking needs are handled smoothly in one place. Clean design and seamless experience – highly recommended!",5,2025-04-21,Dashen,Google Play,dashen bank super app fast reliable super easy use banking need handled smoothly one place clean design seamless experience highly recommended
"Db sup app is A platform or an application that can grasp more satisfactions through fastest mode of operation which means for budget planning, to use QR code(scan, pay, go) chat with staff, acc to acc other bank ft, merchant payment, and easly. I addition to i satisfied and i invite everyone to use those platform!!.",5,2025-04-21,Dashen,Google Play,sup app platform application grasp satisfaction fastest mode operation mean budget planning use codescan pay chat staff acc acc bank merchant payment easly addition satisfied invite everyone use platform
the chat banking and unique and only app that alow money request!!,5,2025-04-21,Dashen,Google Play,chat banking unique app alow money request
Better and inclusive app!,5,2025-04-21,Dashen,Google Play,better inclusive app
Amazing Application,5,2025-04-21,Dashen,Google Play,amazing application
It keep my time to pay my bills and I generate my satment easily,5,2025-04-21,Dashen,Google Play,keep time pay bill generate satment easily
"It's an amazing app that is up-to-date with the times, wow wow",5,2025-04-21,Dashen,Google Play,amazing app uptodate time wow wow
A game-changing Ethiopian innovation—where shopping meets opportunity. The marketplace feature connects buyers and sellers like never before.,5,2025-04-21,Dashen,Google Play,gamechanging ethiopian innovationwhere shopping meet opportunity marketplace feature connects buyer seller like never
"Dashen Super App isn’t just an app — it’s an experience. Effortless, powerful, and built for the future",5,2025-04-21,Dashen,Google Play,dashen super app isnt app experience effortless powerful built future
"This Is An Amazing App with Uniqe Quality,Easy And Fast Mobile Banking App.",5,2025-04-21,Dashen,Google Play,amazing app uniqe qualityeasy fast mobile banking app
"Dashen SuperApp is a lifesaver! Banking, shopping, and bills in one super easy app. The new e-commerce feature is awesome and supports local merchants. Fast, secure, and proudly Ethiopian.Download it now—you won’t regret it!",5,2025-04-21,Dashen,Google Play,dashen superapp lifesaver banking shopping bill one super easy app new ecommerce feature awesome support local merchant fast secure proudly ethiopiandownload nowyou wont regret
"Dashen SuperApp blends finance, shopping, and daily services effortlessly. The new e-commerce feature is smooth and supports local merchants—proud to back an Ethiopian-made solution!",5,2025-04-21,Dashen,Google Play,dashen superapp blend finance shopping daily service effortlessly new ecommerce feature smooth support local merchantsproud back ethiopianmade solution
"A solid step forward by Dashen Bank. The SuperApp combines essential banking features with lifestyle services, making everything accessible in one place. The interface is smooth, and transactions are quick and reliable. It’s clear a lot of thought went into the design and functionality. Great job!",5,2025-04-21,Dashen,Google Play,solid step forward dashen bank superapp combine essential banking feature lifestyle service making everything accessible one place interface smooth transaction quick reliable clear lot thought went design functionality great job
Dashen bank super app is the crucial and convenient app in Ethiopia. there is no other app to compare with Dashen bank super app,5,2025-04-21,Dashen,Google Play,dashen bank super app crucial convenient app ethiopia app compare dashen bank super app
"All-in-one finance & e-commerce super app! Pay, save, shop seamlessly. Fast, secure. #BankAndShop",5,2025-04-21,Dashen,Google Play,allinone finance ecommerce super app pay save shop seamlessly fast secure bankandshop
it's a hestorical app. in the bank industry.,5,2025-04-21,Dashen,Google Play,hestorical app bank industry
"A game changer in Ethiopian digital banking fast, secure, and packed with services. Everything you need, all in one powerful app. A true leap toward financial convenience and innovation!",4,2025-04-21,Dashen,Google Play,game changer ethiopian digital banking fast secure packed service everything need one powerful app true leap toward financial convenience innovation
"easy &,simple to use",5,2025-04-21,Dashen,Google Play,easy simple use
"Banking, but make it smart. Local solutions, all in one place. Smooth, fast, and actually saving time. Feels like the future. Love it!",5,2025-04-21,Dashen,Google Play,banking make smart local solution one place smooth fast actually saving time feel like future love
"All in one, that is it 👌",5,2025-04-21,Dashen,Google Play,one
", Dashen Bank Supper App is multipurpose, convenient, very attractive and Make life easier",5,2025-04-21,Dashen,Google Play,dashen bank supper app multipurpose convenient attractive make life easier
very easy and flexible app.,5,2025-04-21,Dashen,Google Play,easy flexible app
"I choose Dashen Bank Super Up since, it is easy to use & it has attractive features !",5,2025-04-21,Dashen,Google Play,choose dashen bank super since easy use attractive feature
dashen super app is simple faster and reliable.,5,2025-04-21,Dashen,Google Play,dashen super app simple faster reliable
"Dashen Bank Super App is a game-changer! The user-friendly design, wide range of services, and smooth performance make it incredibly convenient for everyday banking. It’s fast, secure, and truly reflects the bank’s commitment to digital excellence. Highly recommended!",5,2025-04-21,Dashen,Google Play,dashen bank super app gamechanger userfriendly design wide range service smooth performance make incredibly convenient everyday banking fast secure truly reflects bank commitment digital excellence highly recommended
"The app keeps getting better with every update! Smooth performance, great UI, and top-notch security. Thank you for making banking so convenient!""",5,2025-04-21,Dashen,Google Play,app keep getting better every update smooth performance great topnotch security thank making banking convenient
this app is the most simply to use and secure safe i love it to use for any bank transaction,5,2025-04-21,Dashen,Google Play,app simply use secure safe love use bank transaction
"After i download the app recently had a smooth expriance, its user friendly, fast, and everything works as expected. keep up the good work.",5,2025-04-21,Dashen,Google Play,download app recently smooth expriance user friendly fast everything work expected keep good work
An app with High performance and advanced features!,5,2025-04-21,Dashen,Google Play,app high performance advanced feature
"It is a very user friendly, attractive user interface, full of useful features. I really encourage everyone to give it a try.",5,2025-04-21,Dashen,Google Play,user friendly attractive user interface full useful feature really encourage everyone give try
"Good actually , but it have to WORK when developer option is on 🙏",5,2025-04-21,Dashen,Google Play,good actually work developer option
"All-in-one convenience, From managing accounts to paying bills and shopping online and the chat banking is game changer, this app does it all seamlessly.",5,2025-04-21,Dashen,Google Play,allinone convenience managing account paying bill shopping online chat banking game changer app seamlessly
I appreciate that Dashen Bank takes lifestyle services into account.,5,2025-04-21,Dashen,Google Play,appreciate dashen bank take lifestyle service account
keep it up!,5,2025-04-21,Dashen,Google Play,keep
amazing app really i loved it .that's why we say dashen bank is one stap ahead. It's the best mobile application that should be on every phone.,5,2025-04-21,Dashen,Google Play,amazing app really loved thats say dashen bank one stap ahead best mobile application every phone
very comfortable app keep it,5,2025-04-21,Dashen,Google Play,comfortable app keep
it has clear detail information about the application so it helps customer how to use the app. and it is very easy to use and also app is secure.,5,2025-04-21,Dashen,Google Play,clear detail information application help customer use app easy use also app secure
"I have been using the Dashen Supper app mobile banking app , and overall, I appreciate its features.However,I’ve noticed that when I turn on the developer options on my device, the app stops functioning properly. It would be great if you could look into this issue, as I often need to access developer settings for other applications . Thank you for your attention to this matter!",5,2025-04-21,Dashen,Google Play,using dashen supper app mobile banking app overall appreciate featureshoweverive noticed turn developer option device app stop functioning properly would great could look issue often need access developer setting application thank attention matter
easiness to use with fast response time,5,2025-04-21,Dashen,Google Play,easiness use fast response time
"The new mobile banking application is a major upgrade! It’s incredibly user-friendly, with a clean and modern design that makes navigation simple and intuitive. I really appreciate how fast it loads and how smooth the overall experience is. All essential services like balance checks, transfers, and bill payments are eas y to find and use. The added security features give me peace of mind, and the app runs reliably without crashes or glitches. It’s clear a lot of thought went into the user experi",5,2025-04-21,Dashen,Google Play,new mobile banking application major upgrade incredibly userfriendly clean modern design make navigation simple intuitive really appreciate fast load smooth overall experience essential service like balance check transfer bill payment ea find use added security feature give peace mind app run reliably without crash glitch clear lot thought went user experi
"As an Internal Customer, Dashen Bank SuperApp has greatly simplified my online banking experience. It's easy to use, allowing me to quickly check balances, transfer money and pay Bills. The app's advanced security features are highly secure, ensuring my data is well protected. The Three click, Chat Banking and IPS features have also given me a smarter experience. In deed Dashen Bank is always steping ahead!",5,2025-04-21,Dashen,Google Play,internal customer dashen bank superapp greatly simplified online banking experience easy use allowing quickly check balance transfer money pay bill apps advanced security feature highly secure ensuring data well protected three click chat banking ip feature also given smarter experience deed dashen bank always steping ahead
"A truly impressive app — user-friendly and a game-changer in Ethiopian banking. The Dashen Super App stands out as one of the most innovative and convenient digital banking solutions in Ethiopia’s financial history. Smooth navigation, seamless features, and a wide range of services all in one place. Well done!",5,2025-04-21,Dashen,Google Play,truly impressive app userfriendly gamechanger ethiopian banking dashen super app stand one innovative convenient digital banking solution ethiopia financial history smooth navigation seamless feature wide range service one place well done
dashen bank super up has very fast and convenience and also it has contain more things on one app .I am very interesting to use dashen bank super up,5,2025-04-21,Dashen,Google Play,dashen bank super fast convenience also contain thing one app interesting use dashen bank super
"The Dashen Bank Super App has truly elevated my mobile banking experience. It's fast, user-friendly, and packed with all the essential features. The interface is clean and intuitive, making navigation easy even for first-time users. I also appreciate the added security features that give me peace of mind while banking on the go. Dashen Bank has done an amazing job with this app—it’s reliable, efficient, and always improving. Highly recommended for anyone looking for seamless digital banking!",5,2025-04-21,Dashen,Google Play,dashen bank super app truly elevated mobile banking experience fast userfriendly packed essential feature interface clean intuitive making navigation easy even firsttime user also appreciate added security feature give peace mind banking dashen bank done amazing job appits reliable efficient always improving highly recommended anyone looking seamless digital banking
A fantastic product!! keep the good work.,5,2025-04-21,Dashen,Google Play,fantastic product keep good work
"I am very impressed with the Dashen super app. It is user-friendly and operates efficiently. The budget and chatbot features are impressive, and all items can be purchased with just three clicks.",5,2025-04-21,Dashen,Google Play,impressed dashen super app userfriendly operates efficiently budget chatbot feature impressive item purchased three click
"The Dashen Super App offers a quick and user-friendly experience, bringing together a variety of services, like budgeting, payments, airtime recharges, and more, all in one convenient platform. Its sleek design and intuitive navigation ensure effortless transactions. It's evident that Dashen Bank has carefully crafted the app to make everyday financial activities easier. A great choice for anyone aiming to streamline their digital routines!",5,2025-04-21,Dashen,Google Play,dashen super app offer quick userfriendly experience bringing together variety service like budgeting payment airtime recharges one convenient platform sleek design intuitive navigation ensure effortless transaction evident dashen bank carefully crafted app make everyday financial activity easier great choice anyone aiming streamline digital routine
Dashen supper App is the most useful app for our customers,5,2025-04-21,Dashen,Google Play,dashen supper app useful app customer
it is the most amazing mobile app,5,2025-04-21,Dashen,Google Play,amazing mobile app
A Good and fast supper app thanks for dashen bank,5,2025-04-21,Dashen,Google Play,good fast supper app thanks dashen bank
"Dear Users of the Dashen Bank Super App,I have been using the Dashen Bank Super App for a while now, and I must say—it’s truly a game-changer! The app is incredibly fast and reliable; I’ve never encountered any delays with my transactions. One feature I absolutely love is Chat Banking. It makes everyday tasks like checking my balance or transferring money as simple as sending a quick message. Also, the budgeting tool has been a huge help in tracking my spending and giving me a clearer",5,2025-04-21,Dashen,Google Play,dear user dashen bank super appi using dashen bank super app must sayits truly gamechanger app incredibly fast reliable ive never encountered delay transaction one feature absolutely love chat banking make everyday task like checking balance transferring money simple sending quick message also budgeting tool huge help tracking spending giving clearer
Too best,1,2025-04-21,Dashen,Google Play,best
"Dashen Bank Super Up,use the app and makes your easy,fast,convinent.",5,2025-04-21,Dashen,Google Play,dashen bank super upuse app make easyfastconvinent
To join digital world use supper app and make your life easy,5,2025-04-21,Dashen,Google Play,join digital world use supper app make life easy
best mobile banking application,5,2025-04-21,Dashen,Google Play,best mobile banking application
"This banking superapp is incredibly well designed. The design and appearance of the app and the overall experience I have when using the app is fantastic. The app is packed with features from banking to e-commerce all in one place.It even has a budget setting option which is super useful for managing my money. Everything runs smoothly and I love how convenient it has made my daily life. Huge Kudos to Dashen Bank. You are truly living up to the motto ''Always one step ahead."" Keep it up!",5,2025-04-21,Dashen,Google Play,banking superapp incredibly well designed design appearance app overall experience using app fantastic app packed feature banking ecommerce one placeit even budget setting option super useful managing money everything run smoothly love convenient made daily life huge kudos dashen bank truly living motto always one step ahead keep
I was really amazed by the idea of an e-commerce service on a banking app. This is what it means to be one step ahead. Please include all kinds of products in there as soon as possible.,5,2025-04-21,Dashen,Google Play,really amazed idea ecommerce service banking app mean one step ahead please include kind product soon possible
this is what we expect to get service Dashen Bank always like his slogan,5,2025-04-21,Dashen,Google Play,expect get service dashen bank always like slogan
"Dashen SupApp is the most contemporary application, offering a great experience by enabling users to perform multiple tasks through a single platform—such as chatting with friends, transferring money, paying bills, and more. It is the first app of its kind in the Ethiopian banking industry, making it a remarkable opportunity for entrepreneurs working in app-based sales and software marketing. Good job, Dashen Bank!",5,2025-04-21,Dashen,Google Play,dashen supapp contemporary application offering great experience enabling user perform multiple task single platformsuch chatting friend transferring money paying bill first app kind ethiopian banking industry making remarkable opportunity entrepreneur working appbased sale software marketing good job dashen bank
Dashen Super App gives me an amazing convenience and makes life easy.,5,2025-04-21,Dashen,Google Play,dashen super app give amazing convenience make life easy
excellent mobile banking app,5,2025-04-21,Dashen,Google Play,excellent mobile banking app
Wow! like his name Super App...,5,2025-04-21,Dashen,Google Play,wow like name super app
Dashen supper app is the most special. ይምቾቱ ይለያያል!!!!,5,2025-04-21,Dashen,Google Play,dashen supper app special ይምቾቱ ይለያያል
convenient and fast,5,2025-04-21,Dashen,Google Play,convenient fast
Best- in-class app.,5,2025-04-21,Dashen,Google Play,best inclass app
I really like this amazing application and Dashen Supper app that has made my life easier.,5,2025-04-21,Dashen,Google Play,really like amazing application dashen supper app made life easier
Superb,5,2025-04-21,Dashen,Google Play,superb
"amazing features, faster and easy to use",5,2025-04-21,Dashen,Google Play,amazing feature faster easy use
"The Dashen Super App offers a modern, user-friendly experience that leverages the latest technological advancements to deliver a seamless e-commerce platform",5,2025-04-21,Dashen,Google Play,dashen super app offer modern userfriendly experience leverage latest technological advancement deliver seamless ecommerce platform
Best App!,5,2025-04-21,Dashen,Google Play,best app
I love it. one of the best mobile banking app in the banking industry,5,2025-04-21,Dashen,Google Play,love one best mobile banking app banking industry
I love this app,5,2025-04-21,Dashen,Google Play,love app
no working for me hulum information asgebiche continue or accept yemilew button ayeseram my phone is Samsung A51,1,2025-04-21,Dashen,Google Play,working hulum information asgebiche continue accept yemilew button ayeseram phone samsung a51
waw no idea the best app.,5,2025-04-19,Dashen,Google Play,waw idea best app
fast best app,5,2025-04-19,Dashen,Google Play,fast best app
Nice App,5,2025-04-18,Dashen,Google Play,nice app
nice app ever,5,2025-04-17,Dashen,Google Play,nice app ever
very disappointing app. Closes frequently and unstable in function,2,2025-04-17,Dashen,Google Play,disappointing app close frequently unstable function
"Feature-rich? Absolutely. But the speed? Painfully slow. Seriously, is it communicating with a server on Mars or something?",5,2025-04-16,Dashen,Google Play,featurerich absolutely speed painfully slow seriously communicating server mar something
nic app,5,2025-04-16,Dashen,Google Play,nic app
"The Dashen Super App delivers a remarkably fast, highly secure, and exceptionally user-friendly experience, establishing it as a leading application in its category.keep it up and stay ahead Dashen Bank.",5,2025-04-14,Dashen,Google Play,dashen super app delivers remarkably fast highly secure exceptionally userfriendly experience establishing leading application categorykeep stay ahead dashen bank
So far so good! their in person customer service is amazing 👏,5,2025-04-14,Dashen,Google Play,far good person customer service amazing
The app is very backward and doesn't always work. If it works three hours out of 24 hours it's great!😥,1,2025-04-14,Dashen,Google Play,app backward doesnt always work work three hour hour great
ምርጫዬ ነው,5,2025-04-13,Dashen,Google Play,ምርጫዬ
It's bad for the connection and too many days are it that not working,1,2025-04-12,Dashen,Google Play,bad connection many day working
it's samart,5,2025-04-10,Dashen,Google Play,samart
"The app is not working properly, I have been using it.",1,2025-04-10,Dashen,Google Play,app working properly using
it is very good app,5,2025-04-10,Dashen,Google Play,good app
"I had a disappointing experience with Dashen Bank's Super Up service. The app is very slow and takes forever to load during transactions, which is incredibly frustrating. Additionally, it doesn't generate receipts for any transactions, making it difficult to keep track of my expenses. I also reached out to customer support, but the response time was longer than expected. Overall, I was hoping for a better experience, but I find the service lacking and in need of improvement.",2,2025-04-09,Dashen,Google Play,disappointing experience dashen bank super service app slow take forever load transaction incredibly frustrating additionally doesnt generate receipt transaction making difficult keep track expense also reached customer support response time longer expected overall hoping better experience find service lacking need improvement
slow cumbersome,3,2025-04-08,Dashen,Google Play,slow cumbersome
Is really 💀,2,2025-04-08,Dashen,Google Play,really
It's slow to send OTP. it's not reliable. It crushed many times. It needs improvement in many ways,1,2025-04-07,Dashen,Google Play,slow send otp reliable crushed many time need improvement many way
"This is the worst mobile banking experience I’ve ever had. It doesn’t work when you need it, and it randomly updates itself without warning. You can’t make transactions whenever you want. It’s a nightmare for anyone who relies on this as their main banking option, especially those with a lot of money in their account. I’m lucky I’m not one of them, but still, it’s infuriating not being able to access your money when you need it.""l",1,2025-04-07,Dashen,Google Play,worst mobile banking experience ive ever doesnt work need randomly update without warning cant make transaction whenever want nightmare anyone relies main banking option especially lot money account lucky one still infuriating able access money need itl
"I have experienced on using the app of Banks in Ethiopia, this Dashen sup is like old version of the applications for using. I gave 3 star for it's very low speed while login and processing",3,2025-04-07,Dashen,Google Play,experienced using app bank ethiopia dashen sup like old version application using gave star low speed login processing
proud by dashen bank,5,2025-04-06,Dashen,Google Play,proud dashen bank
This app is not working unless you turn off developer mode on your phone. So it takes your rights to just use it.,2,2025-04-04,Dashen,Google Play,app working unless turn developer mode phone take right use
real super up,5,2025-04-04,Dashen,Google Play,real super
it's very disappointing fix it as soon as possible not expected from dashin bank fix it,1,2025-04-04,Dashen,Google Play,disappointing fix soon possible expected dashin bank fix
why dashen bank workers hidden my ATM Card 🏧?it's a big problem to me,5,2025-04-04,Dashen,Google Play,dashen bank worker hidden atm card big problem
tanku,5,2025-04-04,Dashen,Google Play,tanku
goood,5,2025-04-02,Dashen,Google Play,goood
why does it ask me for both pin and opt even the opt is touch let alone both,2,2025-04-02,Dashen,Google Play,ask pin opt even opt touch let alone
it is best app easy to use,5,2025-04-01,Dashen,Google Play,best app easy use
It is very easy to use and powerful application.,3,2025-04-01,Dashen,Google Play,easy use powerful application
this apps have a good feature but but some features like developer mode turn off irritate user,3,2025-04-01,Dashen,Google Play,apps good feature feature like developer mode turn irritate user
"This is not only a mobile banking app, it is beyond that. We will access our account easily, we are able to get many information easily here. i.e. exchage rate. We are able to chat with others, we are able to budget, we are able to transfer to other bank and within Dashen. we are able to access many accounts in a single app, we are able to pay bills in QR scan, we are able to make payments and order delivery items here in a single app. #Always one step ahead.",5,2025-03-31,Dashen,Google Play,mobile banking app beyond access account easily able get many information easily exchage rate able chat others able budget able transfer bank within dashen able access many account single app able pay bill scan able make payment order delivery item single app always one step ahead
wallahi very fantastic Bank,5,2025-03-31,Dashen,Google Play,wallahi fantastic bank
"Waw, It's amazing app. thank you Dashen Bank.",5,2025-03-31,Dashen,Google Play,waw amazing app thank dashen bank
"I’ve been using the Dashen Bank Super App for a while now, and it’s been a game-changer. The app is super fast and reliable—I’ve never had an issue with transactions being delayed. One of my favorite features is the chat banking, which makes it so easy to do things like check my balance or transfer money just by typing a quick message. The budgeting tool is also really useful. It helps me keep track of my spending and gives me a clear picture of where",5,2025-03-28,Dashen,Google Play,ive using dashen bank super app gamechanger app super fast reliableive never issue transaction delayed one favorite feature chat banking make easy thing like check balance transfer money typing quick message budgeting tool also really useful help keep track spending give clear picture
Very good app that like it too. B/c it is very fast and easy to use.,5,2025-03-26,Dashen,Google Play,good app like fast easy use
best experiences,5,2025-03-26,Dashen,Google Play,best experience
too slow to use.,1,2025-03-26,Dashen,Google Play,slow use
the worst app in the market only good ui,1,2025-03-22,Dashen,Google Play,worst app market good
nic,5,2025-03-22,Dashen,Google Play,nic
በጣም ቅልል ያለ አፕ በርቱልን ለአጠቃቀም ምቹ,5,2025-03-22,Dashen,Google Play,በጣም ቅልል በርቱልን ለአጠቃቀም
thanks for all digital transaction,5,2025-03-21,Dashen,Google Play,thanks digital transaction
"This app is not supporting smart phones that have old android version and so it is none inclusive. At the same time the amole lite is not working properly and once you reached to maximum otp trail mistakes due to network or other errors like stacks , you will be tied up to make Transactions. Ohh... tired!!!!!",1,2025-03-20,Dashen,Google Play,app supporting smart phone old android version none inclusive time amole lite working properly reached maximum otp trail mistake due network error like stack tied make transaction ohh tired
it's Be Come Busy &not working good,1,2025-03-20,Dashen,Google Play,come busy working good
I wanted to share some concerns about your Supper App. It appears to be experiencing reliability issues and isn’t performing as expected. I hope this can be addressed soon to improve the user experience. One star 🌟 for now.,1,2025-03-19,Dashen,Google Play,wanted share concern supper app appears experiencing reliability issue isnt performing expected hope addressed soon improve user experience one star
"best ever digital banking sector essay for understanding ,smart and convince for using",5,2025-03-19,Dashen,Google Play,best ever digital banking sector essay understanding smart convince using
good and latest,5,2025-03-18,Dashen,Google Play,good latest
The best App of all,5,2025-03-17,Dashen,Google Play,best app
Worst app ever,1,2025-03-15,Dashen,Google Play,worst app ever
"This app is the most unreliable mobile banking application I have ever used for transaction, it is very late, non-responsive and full of bugs. Its is very disappointing. It is just inconvinient, and not user friendly and compatabke at all !!!!!!",1,2025-03-14,Dashen,Google Play,app unreliable mobile banking application ever used transaction late nonresponsive full bug disappointing inconvinient user friendly compatabke
Naiycapp,5,2025-03-14,Dashen,Google Play,naiycapp
The app is good but it has no USSD option,4,2025-03-13,Dashen,Google Play,app good ussd option
Hey great,5,2025-03-12,Dashen,Google Play,hey great
I have used many mobile banking and also tellebir and mpesa nothing come close to this app. Well done Dashen indeed one step a head. A lot of cool features that amole hasn't the receipt and the account statement is superb for me. I hope you add more integrated small apps to.,5,2025-03-12,Dashen,Google Play,used many mobile banking also tellebir mpesa nothing come close app well done dashen indeed one step head lot cool feature amole hasnt receipt account statement superb hope add integrated small apps
The app is good but it ask update every week so tiring,2,2025-03-11,Dashen,Google Play,app good ask update every week tiring
