review,rating,date,bank,source,clean_review,themes
ጊዜን ቆጣቢ እና ህይወትን ቀለል ከሚያደርጉ ኢትዬጲያ ካሉ ፋይናንስ አፕልኬሽኖች ሁሉ ይሄ ይለያል,5,2025-04-01,CBE,Google Play,ጊዜን ቆጣቢ ህይወትን ቀለል ከሚያደርጉ ኢትዬጲያ ፋይናንስ አፕልኬሽኖች ይለያል,Other
Excellent🙏app,5,2025-04-01,CBE,Google Play,excellentapp,Other
the most useful,5,2025-04-01,CBE,Google Play,useful,Other
I am more satisfied in this app . More sure you have to secure.,4,2025-04-01,CBE,Google Play,satisfied app sure secure,Other
Easy to use,5,2025-04-01,CBE,Google Play,easy use,Other
"very good, but sometimes NUR CBE comes without my consent. even if I choose locked, it appears",4,2025-04-01,CBE,Google Play,good sometimes nur cbe come without consent even choose locked appears,Other
Excellent !!!,5,2025-04-01,CBE,Google Play,excellent,Other
always we relay on,5,2025-04-01,CBE,Google Play,always relay,Other
I'm lucky to have this🙏 thank you CBE.,5,2025-04-01,CBE,Google Play,lucky thank cbe,Other
it's need more improvement like Tellbirr.,4,2025-04-01,CBE,Google Play,need improvement like tellbirr,Other
goode app,5,2025-04-01,CBE,Google Play,goode app,Other
a very nice app.👍👍👍,5,2025-04-01,CBE,Google Play,nice app,Other
safe easy & fast,5,2025-04-01,CBE,Google Play,safe easy fast,Other
it's good app,5,2025-04-01,CBE,Google Play,good app,Other
It is veary useful app but screen shout was impossible .solve this problem,5,2025-04-01,CBE,Google Play,veary useful app screen shout impossible solve problem,Other
ጥሩ ነው,5,2025-04-01,CBE,Google Play,,Other
እጅግ በጣም ጥሩ አፕ,5,2025-04-01,CBE,Google Play,እጅግ በጣም,Other
በጣም ሃሪፍ ነው ግን ብር በሚተላለፍበት ወቅት ተቀንሷል ይላል እላፊ መልክቱ ይደርሳል ግን አይቀንስም,5,2025-04-01,CBE,Google Play,በጣም ሃሪፍ በሚተላለፍበት ወቅት ተቀንሷል ይላል እላፊ መልክቱ ይደርሳል አይቀንስም,Other
suitable app,4,2025-04-01,CBE,Google Play,suitable app,Other
Dear cbe this app is not comparable with 21century and pls try to solve it.💀💀💀,1,2025-04-01,CBE,Google Play,dear cbe app comparable 21century pls try solve,Other
best transaction method of financial,5,2025-04-01,CBE,Google Play,best transaction method financial,Transactions
#CBE is Now going to on the right Pathway/track/!! Thank you CBE one step ahead on payment platform app!!,5,2025-04-01,CBE,Google Play,cbe going right pathwaytrack thank cbe one step ahead payment platform app,Transactions
It literarily don't work at all,4,2025-04-01,CBE,Google Play,literarily dont work,Other
good give us plus,5,2025-04-01,CBE,Google Play,good give plus,Other
"Very good application. However, I have one functionality recommendation. What if you let the app transfer money to any telebirr account as for MPESA? By the way, I am not the only one to ask this. Thank you!",4,2025-04-01,CBE,Google Play,good application however one functionality recommendation let app transfer money telebirr account mpesa way one ask thank,"Account Access, Transactions"
before update it was able to screenshot while after update I can't able to screenshot the transfere details,4,2025-04-01,CBE,Google Play,update able screenshot update cant able screenshot transfere detail,Other
Tnc Cbe,5,2025-04-01,CBE,Google Play,tnc cbe,Other
it is good app. But you have integrate cbe with cbe birr. to allow cardless withdrawal directly from our accout!,4,2025-03-31,CBE,Google Play,good app integrate cbe cbe birr allow cardless withdrawal directly accout,Other
great apps,5,2025-03-31,CBE,Google Play,great apps,Other
Excellent,5,2025-03-31,CBE,Google Play,excellent,Other
Great app!,4,2025-03-31,CBE,Google Play,great app,Other
CBE,5,2025-03-31,CBE,Google Play,cbe,Other
very good 👍 👏,5,2025-03-31,CBE,Google Play,good,Other
great when it works,5,2025-03-31,CBE,Google Play,great work,Other
"the app is very good, but why screenshots is impossible?",5,2025-03-31,CBE,Google Play,app good screenshots impossible,Other
excellent match application,5,2025-03-31,CBE,Google Play,excellent match application,Other
The Best app😍😍😍,5,2025-03-31,CBE,Google Play,best app,Other
excellent app,5,2025-03-31,CBE,Google Play,excellent app,Other
easy to use and user friendly,5,2025-03-31,CBE,Google Play,easy use user friendly,Other
very nice,5,2025-03-31,CBE,Google Play,nice,Other
አሪፍ ነው በተለይ የአሻራ ደህነቱ መረጋገጡ ተመችቶኛል,3,2025-03-31,CBE,Google Play,አሪፍ በተለይ የአሻራ ደህነቱ መረጋገጡ ተመችቶኛል,Other
well software,5,2025-03-31,CBE,Google Play,well software,Other
it's not working,3,2025-06-05,BOA,Google Play,working,Other
"Hello, I’m facing a problem with the BOA Mobile app. Every time I enter my phone number and password, the app crashes and shows an error that says “BoaMobile closed because this app has a bug.” I tried updating, reinstalling, and clearing cache, but nothing worked. Please fix this bug in the next update. I really need access to my account. Thank you.",1,2025-06-03,BOA,Google Play,hello facing problem boa mobile app every time enter phone number password app crash show error say boamobile closed app bug tried updating reinstalling clearing cache nothing worked please fix bug next update really need access account thank,"Account Access, App Issues"
exceptional,5,2025-06-03,BOA,Google Play,exceptional,Other
BoA Mobile good bank,5,2025-06-02,BOA,Google Play,boa mobile good bank,Other
this is worest app 24/7 loading,1,2025-06-01,BOA,Google Play,worest app 247 loading,Other
This App is not interest for Android phone Please update it .,1,2025-06-01,BOA,Google Play,app interest android phone please update,Other
BoA system is confartable,5,2025-06-01,BOA,Google Play,boa system confartable,Other
"this app, for me , is a waste of time. It doesn't work . I can't even long in, and it really piss me off. FIX THE PROBLEM",1,2025-05-27,BOA,Google Play,app waste time doesnt work cant even long really piss fix problem,Other
Good service.,3,2025-05-25,BOA,Google Play,good service,Other
the app crush frequently,1,2025-05-24,BOA,Google Play,app crush frequently,Other
You guys keeps getting worst,1,2025-05-22,BOA,Google Play,guy keep getting worst,Other
"This app is a joke. It crashes more than it works, takes forever to load, and half the features are just decorative at this point. Can’t log in, can’t transfer money, can’t even check my balance without it bugging out. To the developer: Are you actually trying to make this work, or is this some kind of social experiment to test our patience? Did you build this in your sleep? Because it definitely looks like it. If this is your idea of a functional app, maybe consider a different career path🙏",1,2025-05-21,BOA,Google Play,app joke crash work take forever load half feature decorative point cant log cant transfer money cant even check balance without bugging developer actually trying make work kind social experiment test patience build sleep definitely look like idea functional app maybe consider different career path,"Transactions, App Issues"
BoA,2,2025-05-20,BOA,Google Play,boa,Other
but not opening on android,4,2025-05-19,BOA,Google Play,opening android,Other
Worst App ever. Totally unreliable. And it didn't work at all for the last 4 months.,1,2025-05-18,BOA,Google Play,worst app ever totally unreliable didnt work last month,Other
ሞላዬ ከበደ,5,2025-05-14,BOA,Google Play,ሞላዬ ከበደ,Other
"this app does no work on Samsung a51, it just gives a preview of the logo",1,2025-05-11,BOA,Google Play,app work samsung a51 give preview logo,Other
"i entered incorrect security question by mistake boa app lock pin forever, why is there no other options? ?? i contacted different branchs more then 4times but they didn't able to solve this issue .",5,2025-05-10,BOA,Google Play,entered incorrect security question mistake boa app lock pin forever option contacted different branch 4times didnt able solve issue,Other
liking this application good 👍,5,2025-05-07,BOA,Google Play,liking application good,Other
"This app future is good, but there is problems with apps to reset and activate it, which is difficult even to the branch staffs, and it takes too long times to active at the branch plus most of the time high expected failure of activation after process at the counter and OTP sent not work",1,2025-05-06,BOA,Google Play,app future good problem apps reset activate difficult even branch staff take long time active branch plus time high expected failure activation process counter otp sent work,Other
it's really good 👍,5,2025-04-23,BOA,Google Play,really good,Other
Bad app . it stuck when you open and noting WORKS.,1,2025-04-23,BOA,Google Play,bad app stuck open noting work,Other
"the app isn't working after it asked me the password it starts loading, but it doesn't open",3,2025-04-20,BOA,Google Play,app isnt working asked password start loading doesnt open,Account Access
It keeps showing this pop up to turn off developer options even tho it's off! I had to turn on and then off to make it work! This is a horrible experience and needs a fix asap! Plus kinda slow.,1,2025-04-19,BOA,Google Play,keep showing pop turn developer option even tho turn make work horrible experience need fix asap plus kinda slow,App Issues
yideg,1,2025-04-18,BOA,Google Play,yideg,Other
አይከፍትም እኮ,1,2025-04-17,BOA,Google Play,አይከፍትም,Other
great boa,5,2025-04-10,BOA,Google Play,great boa,Other
boa of mobile backing,5,2025-04-09,BOA,Google Play,boa mobile backing,Other
faster bank of Abissinya,5,2025-04-08,BOA,Google Play,faster bank abissinya,Other
i would have given it a lower if it was possible because it crush so much and it take the bank so long to fix the bug,1,2025-04-08,BOA,Google Play,would given lower possible crush much take bank long fix bug,App Issues
it just doesn't work...so frustrating,1,2025-04-07,BOA,Google Play,doesnt workso frustrating,Other
like,5,2025-04-06,BOA,Google Play,like,Other
it's not work correctly... you must have update it,1,2025-04-06,BOA,Google Play,work correctly must update,Other
"the app gets a considerable improvements like language , QR scanner and unlimited transfers survice. but BOA Please do alot on its fastness and convenient when we login and making a transactions.",5,2025-04-04,BOA,Google Play,app get considerable improvement like language scanner unlimited transfer survice boa please alot fastness convenient login making transaction,"Account Access, Transactions"
after i typed in my password it says successfully logged out ...and goes back to the first page,2,2025-04-04,BOA,Google Play,typed password say successfully logged go back first page,Account Access
good but they don't update enough don't add new things,3,2025-04-04,BOA,Google Play,good dont update enough dont add new thing,Other
thank you,5,2025-04-02,BOA,Google Play,thank,Other
it doesn't work period z slowest mobile banking ever i would rather use *815#,1,2025-04-01,BOA,Google Play,doesnt work period slowest mobile banking ever would rather use 815,Other
"after activated the application it not allowed to sign , automatically it is turn off In my phone, why ?",1,2025-03-31,BOA,Google Play,activated application allowed sign automatically turn phone,Other
good application,5,2025-03-30,BOA,Google Play,good application,Other
this version is not working for me I cannot even buy card. I cannot send money,1,2025-03-30,BOA,Google Play,version working cannot even buy card cannot send money,Other
"It can't actively on initialization, it says incorrect OTP getting the exact OTP",1,2025-03-29,BOA,Google Play,cant actively initialization say incorrect otp getting exact otp,Other
always problematic hardly works,1,2025-03-26,BOA,Google Play,always problematic hardly work,Other
considering the fact the bank is huge this app really bad you could do better,1,2025-03-25,BOA,Google Play,considering fact bank huge app really bad could better,Other
"worst app and Bank ever u be ashamed, scammer",1,2025-03-24,BOA,Google Play,worst app bank ever ashamed scammer,Other
great BoA,5,2025-03-22,BOA,Google Play,great boa,Other
i have went to the bank so many times because i couldn't make any transaction i can only see my balance nothing else so what is the point of having mobile banking if i can't make any transaction with it please work in that,1,2025-03-21,BOA,Google Play,went bank many time couldnt make transaction see balance nothing else point mobile banking cant make transaction please work,Transactions
there is no speed,1,2025-03-19,BOA,Google Play,speed,Other
"For anyone who wants to download it, just don't!!!",1,2025-03-19,BOA,Google Play,anyone want download dont,Other
wonderful,5,2025-03-19,BOA,Google Play,wonderful,Other
all worck,5,2025-03-19,BOA,Google Play,worck,Other
Loved it,5,2025-03-14,BOA,Google Play,loved,Other
Wow,1,2025-03-14,BOA,Google Play,wow,Other
"Edit: New bug, app not letting me type in my otp codes. Shameful Why does this app not allow me to use it while having developer options on? Did y'all consider that I might, perhaps, be an actual developer? Why am I expected to toggle the option on and off just to bank (restarting my phone when I do)? Why is the message labled as somthing that will ""smoothen"" the experience? This is like the most ""security consultant"" thing to implement in an app. Please invest in actual security, not this mess.",1,2025-03-12,BOA,Google Play,edit new bug app letting type otp code shameful app allow use developer option yall consider might perhaps actual developer expected toggle option bank restarting phone message labled somthing smoothen experience like security consultant thing implement app please invest actual security mess,App Issues
Improved to be the best,5,2025-03-11,BOA,Google Play,improved best,Other
"Decent, but there problems sometimes it says error When i transfer money but infact it transferred because of this bug i transferred 2 times instead of 1 and also we can't transfer money to others telebirr acc we only can to our self BOE Dev fix this !!!",3,2025-03-11,BOA,Google Play,decent problem sometimes say error transfer money infact transferred bug transferred time instead also cant transfer money others telebirr acc self boe dev fix,"Transactions, App Issues"
BoA Greqt Ethiopian bank.,5,2025-03-11,BOA,Google Play,boa greqt ethiopian bank,Other
"The bug is still there,the app crashes every time i try to log in, especially in old phones like my Galaxy A32",1,2025-03-10,BOA,Google Play,bug still therethe app crash every time try log especially old phone like galaxy a32,App Issues
Almost better compared to cbe where it is not qualified for,4,2025-03-09,BOA,Google Play,almost better compared cbe qualified,Other
what awesome apps. it is very simple to use and more much important apps.,5,2025-03-09,BOA,Google Play,awesome apps simple use much important apps,Other
Wonderfull app,5,2025-03-08,BOA,Google Play,wonderfull app,Other
i can't use this app why?,5,2025-03-07,BOA,Google Play,cant use app,Other
Worst mobile banking app I ever experienced I was blaming other apps but comparing with this they're too much better!!!! It clashes it takes much longer time to login while loading in short it's a complete of trash,1,2025-03-06,BOA,Google Play,worst mobile banking app ever experienced blaming apps comparing theyre much better clash take much longer time login loading short complete trash,Account Access
bro the worst app made by human kind!! as a software engineer it make me so sad seeing enterprise as big as BOA make apps like this. it is a disgrace for our country!!,1,2025-03-05,BOA,Google Play,bro worst app made human kind software engineer make sad seeing enterprise big boa make apps like disgrace country,Other
AGA B Girja Miss language of admin Afaan oromo & other Itoophiyaa languages,1,2025-03-04,BOA,Google Play,aga girja miss language admin afaan oromo itoophiyaa language,Other
"I downloaded the app for the first time while reading other customers reviews and as soon as i installed and opened the app it closes back automatically, what unserious bank, now i uninstalled the app immediately",1,2025-03-03,BOA,Google Play,downloaded app first time reading customer review soon installed opened app close back automatically unserious bank uninstalled app immediately,Other
It has good features but sometimes it doesn't work...0,1,2025-03-02,BOA,Google Play,good feature sometimes doesnt work0,Other
Very poor proformance,1,2025-03-01,BOA,Google Play,poor proformance,Other
It's not opening. Really frustrating,1,2025-03-01,BOA,Google Play,opening really frustrating,Other
Verry Amazing App from all IB,5,2025-03-01,BOA,Google Play,verry amazing app,Other
Not working on this days,1,2025-02-26,BOA,Google Play,working day,Other
Thank you BoA,5,2025-02-23,BOA,Google Play,thank boa,Other
best banking app in the wworld,5,2025-02-22,BOA,Google Play,best banking app wworld,Other
Nice app and it's easy to use,5,2025-02-21,BOA,Google Play,nice app easy use,Other
"please add language in the apps setting(amharic afan oromo, tigniya,and others) sometimes bank to bank transfer is not available through time and even if if it is available not reachable…it is serious issue!",1,2025-02-15,BOA,Google Play,please add language apps settingamharic afan oromo tigniyaand others sometimes bank bank transfer available time even available reachableit serious issue,Transactions
This is help full i like ittttt,5,2025-02-14,BOA,Google Play,help full like ittttt,Other
The is not functional at all?,2,2025-02-12,BOA,Google Play,functional,Other
Best bank,5,2025-02-08,BOA,Google Play,best bank,Other
Make it easy and convienient to use and perfect for all to high prefrence and choice.,3,2025-02-07,BOA,Google Play,make easy convienient use perfect high prefrence choice,Other
🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹👍👍👍👍👍👍👍,5,2025-02-04,BOA,Google Play,,Other
I have been using this app for two years.It is amazing.,5,2025-02-01,BOA,Google Play,using app two yearsit amazing,Other
Good 👍,5,2025-01-31,BOA,Google Play,good,Other
Sad experience,1,2025-01-30,BOA,Google Play,sad experience,Other
Always do update and that is annoying,3,2025-01-27,BOA,Google Play,always update annoying,Other
"Best app, somehow waiting a few minutes",5,2025-01-23,BOA,Google Play,best app somehow waiting minute,Other
I can't dijitalize my atm in the apollo app on my phone,1,2025-01-22,BOA,Google Play,cant dijitalize atm apollo app phone,Other
Whenever I try to sign in app close please fixed it out,2,2025-01-21,BOA,Google Play,whenever try sign app close please fixed,Other
Beter,5,2025-01-21,BOA,Google Play,beter,Other
Boa,4,2025-01-18,BOA,Google Play,boa,Other
በጣም የሚያስጠላ አፕ በጣም የወረደ ዜሮ ነው የምሰጠው ዘሮ It's not App it's very slow ehhhh. Why don't you upgrade the app???? It's always zero,1,2025-01-18,BOA,Google Play,በጣም የሚያስጠላ በጣም የወረደ የምሰጠው app slow ehhhh dont upgrade app always zero,App Issues
Aadan Axmed Barkhadle,5,2025-01-17,BOA,Google Play,aadan axmed barkhadle,Other
😡😡😡🤬🤬🤬,1,2025-01-16,BOA,Google Play,,Other
Horrible customer service and app crashes Horrible!!,1,2025-01-15,BOA,Google Play,horrible customer service app crash horrible,App Issues
I love it,5,2025-01-14,BOA,Google Play,love,Other
It keeps asking me to turn off developer mode even when dev mode is off. Couldn't use it.,1,2025-01-13,BOA,Google Play,keep asking turn developer mode even dev mode couldnt use,Other
Good🙏,5,2025-01-12,BOA,Google Play,good,Other
Like to much,5,2025-01-11,BOA,Google Play,like much,Other
Thank you,5,2025-01-10,BOA,Google Play,thank,Other
Perfect,5,2025-01-09,BOA,Google Play,perfect,Other
The best of best,5,2025-01-09,BOA,Google Play,best best,Other
I was using this app for long time it amazing user friendly UI but the i can't found for get pin button in the app,3,2025-01-07,BOA,Google Play,using app long time amazing user friendly cant found get pin button app,Other
Great 👍,5,2025-01-04,BOA,Google Play,great,Other
Fast and suitable for the customers.,5,2025-01-04,BOA,Google Play,fast suitable customer,Other
Good app and helpful,5,2025-01-03,BOA,Google Play,good app helpful,Other
"I will give only one star, because it faced with multiple of problems. 1. The app is not as fast as the other banks App, for e.g like CBE 2. The App asks repeatedly to switch off developer options, even if it is switched off. 3. Bank of Abyssinia's services are interesting, but they ignored the issues on the App service. 4. Most customers gave a complain on the App, but no one accept their complain to fix the issue. 5. Lastly, I will not recommend the App unless the issue has been solved ASAP!!",1,2025-01-03,BOA,Google Play,give one star faced multiple problem app fast bank app like cbe app asks repeatedly switch developer option even switched bank abyssinia service interesting ignored issue app service customer gave complain app one accept complain fix issue lastly recommend app unless issue solved asap,Other
By assessing this you can tell Abyssinia bank has no idea what mobile banking is ?,1,2025-01-02,BOA,Google Play,assessing tell abyssinia bank idea mobile banking,Other
It doesn't work at all.,2,2025-01-02,BOA,Google Play,doesnt work,Other
this app is not available,1,2025-01-02,BOA,Google Play,app available,Other
Wow what amazing,5,2024-12-30,BOA,Google Play,wow amazing,Other
love it,5,2024-12-30,BOA,Google Play,love,Other
በጣም መሻሻል አለበት....... ለ ባንኩ ማይመጥን መተግበርያ ነው ::,2,2024-12-30,BOA,Google Play,በጣም መሻሻል አለበት ባንኩ ማይመጥን መተግበርያ,Other
Lemn embi yilal??,5,2024-12-30,BOA,Google Play,lemn embi yilal,Other
It's useless app downgraded.,1,2024-12-29,BOA,Google Play,useless app downgraded,Other
Why is not letting me access my account. The whole point of this app is for me to gey access to my account without physically being at the bank. I would give it a zero but a one will suffice to get my point accross.,1,2024-12-27,BOA,Google Play,letting access account whole point app gey access account without physically bank would give zero one suffice get point accross,Account Access
Nice,5,2024-12-26,BOA,Google Play,nice,Other
When are you going to get rid of this and have a real app that works? By far the worst mobile banking app.,1,2024-12-24,BOA,Google Play,going get rid real app work far worst mobile banking app,Other
አይሰራም ሼም ነው፤,1,2024-12-23,BOA,Google Play,አይሰራም,Other
Not that much bad,3,2024-12-22,BOA,Google Play,much bad,Other
Fine,5,2024-12-21,BOA,Google Play,fine,Other
The dirtiest application ever seen...,1,2024-12-20,BOA,Google Play,dirtiest application ever seen,Other
Nic ap,5,2024-12-19,BOA,Google Play,nic,Other
The forest app ever,1,2024-12-19,BOA,Google Play,forest app ever,Other
"I love BoA more than anyone but they are cursed when it comed to mobile banking. Even though this ine is hetter it still s*cks! It will ask me to turn off developer options other wise it won't work! I use CBE, Awash birr, tekebirr, Dashen bank and others but non of them asked me this, why only BoA? Please improve your mobile banking, be competitive!",1,2024-12-19,BOA,Google Play,love boa anyone cursed comed mobile banking even though ine hetter still scks ask turn developer option wise wont work use cbe awash birr tekebirr dashen bank others non asked boa please improve mobile banking competitive,Other
Bank of abissena,1,2024-12-17,BOA,Google Play,bank abissena,Other
"Easy and sooo simple to use it, also its easy to stole someones money using the app",3,2024-12-16,BOA,Google Play,easy sooo simple use also easy stole someone money using app,Other
GOOD,5,2024-12-15,BOA,Google Play,good,Other
The worst banking app ever. Never works!,1,2024-12-14,BOA,Google Play,worst banking app ever never work,Other
Poorly functioning app,3,2024-12-13,BOA,Google Play,poorly functioning app,Other
Very nice,5,2024-12-13,BOA,Google Play,nice,Other
Your system is the worst you should do better😡😡😡😡😡😡,2,2024-12-11,BOA,Google Play,system worst better,Other
It has been a while since you guys started giving the mobile app service but still couldn't get it to work. I'm sure you know that it doesn't work already but not sure if you're lazy or incompetent to fix it. You are losing business because of this. Complacency will have consequences.,1,2024-12-10,BOA,Google Play,since guy started giving mobile app service still couldnt get work sure know doesnt work already sure youre lazy incompetent fix losing business complacency consequence,Other
"This is the best app; many features are awesome, but it should work without the need to turn off the developer options. I'm tired of having to constantly switch the developer options off and on. I've been expressing my struggles about this. I have precious settings enabled in the developer options, and to open the App Boa app, I have to turn them off. Please help us, Abyssinia Bank. I hope you can provide an update soon.",4,2024-12-08,BOA,Google Play,best app many feature awesome work without need turn developer option tired constantly switch developer option ive expressing struggle precious setting enabled developer option open app boa app turn please help abyssinia bank hope provide update soon,Other
"I’m giving this app one star because there are no options below that. My experience has been incredibly frustrating due to the extremely long loading times, and the app even closes automatically at times. People choose mobile banking for its convenience, but this app is far too time-consuming, making it the worst I’ve used. I hope improvements are made to enhance the user experience.",1,2024-12-07,BOA,Google Play,giving app one star option experience incredibly frustrating due extremely long loading time app even close automatically time people choose mobile banking convenience app far timeconsuming making worst ive used hope improvement made enhance user experience,Other
Very unprofessional and mischievous bank in my opinion. I have had several occasions but recently I used Abyssinia Card to withdraw money and it was deducted from my account but despite reporting several times they said they are processing it but I learned yesterday that since it has been 3 months the bank has decided to include it in their income. How absurd. If you can avoid this bank.,1,2024-12-06,BOA,Google Play,unprofessional mischievous bank opinion several occasion recently used abyssinia card withdraw money deducted account despite reporting several time said processing learned yesterday since month bank decided include income absurd avoid bank,Account Access
It doesn't work on my 2 devices A05 and A34 😡,1,2024-12-02,BOA,Google Play,doesnt work device a05 a34,Other
It's better to say I don't use boa rather than pulling your phone out and opening this app,1,2024-12-01,BOA,Google Play,better say dont use boa rather pulling phone opening app,Other
My attention is very important because it will be the most difficult time for me,5,2024-11-30,BOA,Google Play,attention important difficult time,Other
"I have a worst experience while using this mobile application through out the year. Most of the time it fails to ""Login"" or automatically closed the app. And also it takes so much loading time (5 minutes +) trying to access the internal services. Sometimes also while transferring within and to other bank also fails. So, BOA please fix your app.",1,2024-11-29,BOA,Google Play,worst experience using mobile application year time fails login automatically closed app also take much loading time minute trying access internal service sometimes also transferring within bank also fails boa please fix app,Account Access
I don't know why but your apps start out great then all of a sudden don't work🤷‍♀️,1,2024-11-28,BOA,Google Play,dont know apps start great sudden dont work,Other
This application is losing major factions on a daily basis. I can count how many times I have used this app; it is completely useless and disappointing if I am not going to use it in times of need then I don't see the point.,1,2024-11-28,BOA,Google Play,application losing major faction daily basis count many time used app completely useless disappointing going use time need dont see point,Other
exellent digital transaction of money,5,2024-11-27,BOA,Google Play,exellent digital transaction money,Transactions
The latest update has stopped android 9 phones not to open this App. Never work properly since i started using it.,1,2024-11-26,BOA,Google Play,latest update stopped android phone open app never work properly since started using,Other
Great,5,2024-11-25,BOA,Google Play,great,Other
👏👏👏,5,2024-11-24,BOA,Google Play,,Other
Money,5,2024-11-24,BOA,Google Play,money,Other
It needs more improvment,2,2024-11-24,BOA,Google Play,need improvment,Other
Hey Google,5,2024-11-21,BOA,Google Play,hey google,Other
ab,3,2024-11-20,BOA,Google Play,,Other
Ademtahir,5,2024-11-20,BOA,Google Play,ademtahir,Other
✌️✌️,5,2024-11-20,BOA,Google Play,,Other
Please this app on my android phone,3,2024-11-20,BOA,Google Play,please app android phone,Other
GOAT 🐐 🐐,5,2024-11-19,BOA,Google Play,goat,Other
"Your app doesn't match your bank, the app is disaster, super slow. Please learn something from tele birr app.",1,2024-11-19,BOA,Google Play,app doesnt match bank app disaster super slow please learn something tele birr app,App Issues
Fast and reliable,5,2024-11-18,BOA,Google Play,fast reliable,Other
"The worst app update ever. Why would you include the ""developer option off"" thing here? Why do you care? It is my phone my money, right? That is the reason why I switched to other banks. So either turn it off or everyone will discontinue their business one by one.",1,2024-11-17,BOA,Google Play,worst app update ever would include developer option thing care phone money right reason switched bank either turn everyone discontinue business one one,Other
Very good,5,2024-11-14,BOA,Google Play,good,Other
One of the poorest mobile banking system,1,2024-11-13,BOA,Google Play,one poorest mobile banking system,Other
❤❤❤❤❤❤,5,2024-11-12,BOA,Google Play,,Other
Oene,5,2024-11-12,BOA,Google Play,oene,Other
i find it interesting specially in reciept downloading,1,2024-11-12,BOA,Google Play,find interesting specially reciept downloading,Other
it good,5,2024-11-12,BOA,Google Play,good,Other
"This app crashes everytime, please fix it",1,2024-11-12,BOA,Google Play,app crash everytime please fix,App Issues
አንድ star ራሱ ይበዛበታል። i dont recomend to use this app also the bank,1,2024-11-12,BOA,Google Play,አንድ star ይበዛበታል dont recomend use app also bank,Other
I need a support the app is not working,5,2024-11-12,BOA,Google Play,need support app working,Other
Bast bank of ethiopia,5,2024-11-12,BOA,Google Play,bast bank ethiopia,Other
very slow app. አቢሲኒያን ከሚያክል ባንክ የማይጠበቅ software app. ከቻላችሁ ሙሉ ለሙሉ እንደገና አሰሩት።በጣም ይመራያል ያሳፍራል።ለapp የወጣው ወጭ በሙስና የተበላ ነው የሚመስለው።,1,2024-11-12,BOA,Google Play,slow app አቢሲኒያን ከሚያክል ባንክ የማይጠበቅ software app ከቻላችሁ ለሙሉ እንደገና አሰሩትበጣም ይመራያል ያሳፍራልለapp የወጣው በሙስና የተበላ የሚመስለው,App Issues
"thank you for your social services like, vertual banking, non touch ATM, Cadrless and withdrwal with out passbook...",5,2024-11-12,BOA,Google Play,thank social service like vertual banking non touch atm cadrless withdrwal passbook,Other
The worst App i have never seen like this before,1,2024-11-12,BOA,Google Play,worst app never seen like,Other
Wweeeer,4,2024-11-12,BOA,Google Play,wweeeer,Other
Infinx,5,2024-11-12,BOA,Google Play,infinx,Other
Great service,5,2024-11-12,BOA,Google Play,great service,Other
This app is not available on all android versions and some times it is not functional.,1,2024-11-08,BOA,Google Play,app available android version time functional,Other
senayt Mesfin,4,2024-11-08,BOA,Google Play,senayt mesfin,Other
Bad app vety bad.,1,2024-11-07,BOA,Google Play,bad app vety bad,Other
Abessnya Banke,5,2024-11-05,BOA,Google Play,abessnya banke,Other
"The most useless app, I never expected such an irrelevant app from BOA. big shame!",1,2024-11-04,BOA,Google Play,useless app never expected irrelevant app boa big shame,Other
Okay,5,2024-11-03,BOA,Google Play,okay,Other
Professional on banking app,5,2024-11-01,BOA,Google Play,professional banking app,Other
Has some nice interface but always freezes or slow to load .App developers please fix this issue.,3,2024-10-27,BOA,Google Play,nice interface always freeze slow load app developer please fix issue,"App Issues, UI/UX"
አይሰራም አስተካክሉት,5,2024-10-26,BOA,Google Play,አይሰራም አስተካክሉት,Other
Please try another because this app doesn't feet the need of this generation,1,2024-10-25,BOA,Google Play,please try another app doesnt foot need generation,Other
Fast transfer,5,2024-10-24,BOA,Google Play,fast transfer,Transactions
"What's up I can't log in, what's wrong",5,2024-10-22,BOA,Google Play,whats cant log whats wrong,Other
Amrumehamed,1,2024-10-21,BOA,Google Play,amrumehamed,Other
"Nice to meet you my proud bank in Ethiopia.. I'm a member of this bank, i need to solve my problem of international receiving money for me from my online digital working service's over the world please? I'm working a lot of international money.But i can't get direct in Ethiopia because of don't knowing the legal ways of getting money in Ethiopia please can I get and direct deposit with BoA please 🙏🙏🙏?",5,2024-10-18,BOA,Google Play,nice meet proud bank ethiopia member bank need solve problem international receiving money online digital working service world please working lot international moneybut cant get direct ethiopia dont knowing legal way getting money ethiopia please get direct deposit boa please,Other
ደደገነሐ,5,2024-10-15,BOA,Google Play,ደደገነሐ,Other
"Terrible Bank Experience It’s unbelievable that with all the modern technology, this bank still struggles with even basic transactions. The app constantly crashes, services are limited, and every time I try to transfer money or load Telebirr, there’s a huge delay. I have to wait 5 days for failed transactions to be refunded! Even USSD is unreliable. They’ve put me in embarrassing situations countless times, and customer care never fixes anything. I’ve switched banks, and you should too!",1,2024-10-14,BOA,Google Play,terrible bank experience unbelievable modern technology bank still struggle even basic transaction app constantly crash service limited every time try transfer money load telebirr there huge delay wait day failed transaction refunded even ussd unreliable theyve put embarrassing situation countless time customer care never fix anything ive switched bank,"Transactions, App Issues"
